date,price
2/1/2009,62.91
5/1/2009,61.72
6/1/2009,60.02
7/1/2009,60.3
8/1/2009,62.42
9/1/2009,63.19
12/1/2009,63.2
13-01-09,64.56
14-01-09,64.06
15-01-09,63.72
16-01-09,64.29
20-01-09,62.52
21-01-09,63.96
22-01-09,63.98
23-01-09,62.57
26-01-09,61.78
27-01-09,61.43
28-01-09,62.27
29-01-09,63.2
30-01-09,60.16
2/2/2009,61.7
3/2/2009,63.66
4/2/2009,61.88
5/2/2009,60.23
6/2/2009,57.15
9/2/2009,54.97
10/2/2009,53.41
11/2/2009,52.08
12/2/2009,53.35
13-02-09,57.25
17-02-09,56.02
18-02-09,51.55
19-02-09,54.46
20-02-09,53.8
23-02-09,56.84
24-02-09,55.13
25-02-09,54.18
26-02-09,55.58
27-02-09,53.06
2/3/2009,51.76
3/3/2009,56.62
4/3/2009,57.18
5/3/2009,57.87
6/3/2009,57.93
9/3/2009,57.03
10/3/2009,57.78
11/3/2009,56
12/3/2009,54.17
13-03-09,55.47
16-03-09,56.48
17-03-09,56.29
18-03-09,54.02
19-03-09,56.25
20-03-09,56.13
23-03-09,55.61
24-03-09,56.51
25-03-09,55.44
26-03-09,52.91
27-03-09,55.15
30-03-09,55.51
31-03-09,56.81
1/4/2009,57.9
2/4/2009,58.75
3/4/2009,56.17
6/4/2009,57.05
7/4/2009,59.55
8/4/2009,60.84
9/4/2009,62.72
13-04-09,60.92
14-04-09,59.68
15-04-09,61.66
16-04-09,60.87
17-04-09,60.59
20-04-09,60.69
21-04-09,62.92
22-04-09,62.63
23-04-09,61.29
24-04-09,60.32
27-04-09,61.4
28-04-09,60.65
29-04-09,61.28
30-04-09,61.06
1/5/2009,60.38
4/5/2009,61.74
5/5/2009,62.19
6/5/2009,63.75
7/5/2009,63.56
8/5/2009,62.14
11/5/2009,61.24
12/5/2009,60.52
13-05-09,60.07
14-05-09,60.16
15-05-09,59.32
18-05-09,57.33
19-05-09,57.98
20-05-09,59.67
21-05-09,57.07
22-05-09,58.7
26-05-09,58.72
27-05-09,58.02
28-05-09,58.4
29-05-09,58.52
1/6/2009,59.2
2/6/2009,58.14
3/6/2009,58.02
4/6/2009,57.9
5/6/2009,58.88
8/6/2009,57.86
9/6/2009,58.36
10/6/2009,58.46
11/6/2009,59.02
12/6/2009,57.28
15-06-09,57.08
16-06-09,56.96
17-06-09,56.81
18-06-09,55.68
19-06-09,56.41
22-06-09,55.31
23-06-09,54.57
24-06-09,53.87
25-06-09,54.76
26-06-09,54.29
29-06-09,52.2
30-06-09,52.25
1/7/2009,51.85
2/7/2009,52.43
6/7/2009,53.15
7/7/2009,50.86
8/7/2009,52.12
9/7/2009,52.32
10/7/2009,52.6
13-07-09,51.03
14-07-09,52.17
15-07-09,52.38
16-07-09,51.69
17-07-09,53.64
20-07-09,55.42
21-07-09,54.71
22-07-09,53.2
23-07-09,55.16
24-07-09,53.46
27-07-09,55.01
28-07-09,56.06
29-07-09,55.01
30-07-09,53.92
31-07-09,54.57
3/8/2009,55.24
4/8/2009,56.35
5/8/2009,56.64
6/8/2009,55.94
7/8/2009,55.4
10/8/2009,55.56
11/8/2009,56.67
12/8/2009,56.11
13-08-09,54.82
14-08-09,53.95
17-08-09,54.7
18-08-09,56.09
19-08-09,55.33
20-08-09,55.63
21-08-09,54.25
24-08-09,55.3
25-08-09,54.31
26-08-09,54.49
27-08-09,54.53
28-08-09,54.41
31-08-09,53.29
1/9/2009,52.4
2/9/2009,52.77
3/9/2009,53.16
4/9/2009,53.69
8/9/2009,53.39
9/9/2009,54.92
10/9/2009,54.4
11/9/2009,53.97
14-09-09,53.49
15-09-09,53.57
16-09-09,53.46
17-09-09,54.2
18-09-09,53.87
21-09-09,56.25
22-09-09,55.69
23-09-09,57.08
24-09-09,58.84
25-09-09,57.82
28-09-09,58.13
29-09-09,58.99
30-09-09,59.85
1/10/2009,60.38
2/10/2009,60.99
5/10/2009,60.24
6/10/2009,59.87
7/10/2009,58.72
8/10/2009,59.08
9/10/2009,58.36
12/10/2009,57.67
13-10-09,58.36
14-10-09,57.78
15-10-09,57.07
16-10-09,57.37
19-10-09,58.16
20-10-09,58.17
21-10-09,57.2
22-10-09,56.76
23-10-09,56.3
26-10-09,57.46
27-10-09,57
28-10-09,57.23
29-10-09,57.49
30-10-09,58.22
2/11/2009,57.48
3/11/2009,57.99
4/11/2009,56.8
5/11/2009,57.04
6/11/2009,56.77
9/11/2009,57.05
10/11/2009,57.27
11/11/2009,57.46
12/11/2009,57.08
13-11-09,57.22
16-11-09,57.84
17-11-09,58.28
18-11-09,58.63
19-11-09,58.82
20-11-09,56.09
23-11-09,56.08
24-11-09,55.97
