date,price
2/1/2009,124.6
5/1/2009,138
6/1/2009,158.9
7/1/2009,160.3
8/1/2009,184.6
9/1/2009,163.4
12/1/2009,148
13-01-09,138
14-01-09,140.4
15-01-09,139.8
16-01-09,113
20-01-09,106
21-01-09,123
22-01-09,112.4
23-01-09,115.1
26-01-09,125.6
27-01-09,122.9
28-01-09,116.9
29-01-09,115.9
30-01-09,110.3
2/2/2009,125.8
3/2/2009,118
4/2/2009,115.9
5/2/2009,109.1
6/2/2009,100
9/2/2009,97.44
10/2/2009,109.9
11/2/2009,104.5
12/2/2009,98.63
13-02-09,93.5
17-02-09,89.5
18-02-09,101.9
19-02-09,106.5
20-02-09,115.2
23-02-09,110.9
24-02-09,125
25-02-09,128.1
26-02-09,133
27-02-09,121.3
2/3/2009,123.5
3/3/2009,120.1
4/3/2009,121.5
5/3/2009,122.2
6/3/2009,129.9
9/3/2009,137.1
10/3/2009,134.9
11/3/2009,133.3
12/3/2009,138.9
13-03-09,133.8
16-03-09,131
17-03-09,138.4
18-03-09,135.1
19-03-09,132
20-03-09,119.4
23-03-09,123.7
24-03-09,139.9
25-03-09,139.1
26-03-09,149.6
27-03-09,164.7
30-03-09,172.2
31-03-09,171
1/4/2009,186.5
2/4/2009,182.9
3/4/2009,175.8
6/4/2009,179
7/4/2009,182.9
8/4/2009,184.4
9/4/2009,178.4
13-04-09,168
14-04-09,167.3
15-04-09,190
16-04-09,158.9
17-04-09,172
20-04-09,179.3
21-04-09,190.1
22-04-09,210.1
23-04-09,207.2
24-04-09,205.9
27-04-09,193.5
28-04-09,168.3
29-04-09,172.1
30-04-09,150.9
1/5/2009,143
4/5/2009,146.5
5/5/2009,137.4
6/5/2009,136.4
7/5/2009,146.9
8/5/2009,148.4
11/5/2009,142.9
12/5/2009,136
13-05-09,132.4
14-05-09,137.6
15-05-09,132.6
18-05-09,139.6
19-05-09,130.8
20-05-09,128.6
21-05-09,117.5
22-05-09,111.6
26-05-09,120.9
27-05-09,114.6
28-05-09,118.8
29-05-09,105.8
1/6/2009,112.1
2/6/2009,105.1
3/6/2009,108.4
4/6/2009,117.4
5/6/2009,111.6
8/6/2009,114
9/6/2009,115.9
10/6/2009,106.3
11/6/2009,92
12/6/2009,96.5
15-06-09,111.7
16-06-09,112.9
17-06-09,111.3
18-06-09,123.5
19-06-09,117.5
22-06-09,117.8
23-06-09,113.6
24-06-09,110.2
25-06-09,110.7
26-06-09,116.1
29-06-09,125.1
30-06-09,122.4
1/7/2009,124.1
2/7/2009,126.9
6/7/2009,121.9
7/7/2009,125.4
8/7/2009,125.5
9/7/2009,117.4
10/7/2009,126.1
13-07-09,135
14-07-09,139.6
15-07-09,137.6
16-07-09,131.7
17-07-09,120.1
20-07-09,125.4
21-07-09,106.8
22-07-09,114.6
23-07-09,105.9
24-07-09,101
27-07-09,105.8
28-07-09,101.6
29-07-09,100.1
30-07-09,94
31-07-09,94.88
3/8/2009,88.44
4/8/2009,97.25
5/8/2009,89.56
6/8/2009,85.5
7/8/2009,91
10/8/2009,90.94
11/8/2009,91.75
12/8/2009,97.44
13-08-09,98.31
14-08-09,109.3
17-08-09,113.1
18-08-09,105.1
