date,price
3/1/2009,26.62
4/1/2009,26.67
5/1/2009,26.83
6/1/2009,27.88
7/1/2009,28.24
10/1/2009,28.45
11/1/2009,26.96
12/1/2009,26.96
13-01-09,26.22
14-01-09,25.75
18-01-09,25.64
19-01-09,24.03
20-01-09,22.62
21-01-09,23.04
24-01-09,24.49
25-01-09,24.68
26-01-09,24.75
27-01-09,24.92
28-01-09,24.01
31-01-09,24.1
1/2/2009,23.91
2/2/2009,23.94
3/2/2009,23.63
4/2/2009,23.46
7/2/2009,23.07
8/2/2009,24.49
9/2/2009,23.21
10/2/2009,23.21
11/2/2009,23.25
14-02-09,23.08
15-02-09,22.84
16-02-09,24.73
17-02-09,23.6
18-02-09,23.18
22-02-09,21.87
23-02-09,21.83
24-02-09,22.53
25-02-09,23.61
28-02-09,23.89
1/3/2009,23.94
2/3/2009,24.02
3/3/2009,24.36
4/3/2009,24.95
7/3/2009,24.94
8/3/2009,24.66
9/3/2009,24.72
10/3/2009,24.01
11/3/2009,24.07
14-03-09,23.25
15-03-09,22.95
16-03-09,22.82
17-03-09,22.81
18-03-09,22.96
21-03-09,22.73
22-03-09,22.19
23-03-09,22.21
24-03-09,22.33
25-03-09,22.75
28-03-09,23.25
29-03-09,23.92
30-03-09,23.71
31-03-09,27.75
1/4/2009,26.66
4/4/2009,25.83
5/4/2009,26.7
6/4/2009,26.49
7/4/2009,27.24
8/4/2009,26.49
11/4/2009,25.27
12/4/2009,24.65
13-04-09,24.93
14-04-09,25.14
15-04-09,25.58
18-04-09,25.03
19-04-09,25.16
20-04-09,25.75
21-04-09,26.74
25-04-09,26.39
26-04-09,26.93
27-04-09,27.08
28-04-09,27.66
29-04-09,27.6
2/5/2009,27.45
3/5/2009,26.87
4/5/2009,26.69
5/5/2009,26.44
6/5/2009,27.12
9/5/2009,27.91
10/5/2009,28.33
11/5/2009,27.07
12/5/2009,27.67
13-05-09,27.55
16-05-09,26.6
17-05-09,25.96
18-05-09,26.35
19-05-09,28.2
20-05-09,27.97
23-05-09,26.82
24-05-09,26.72
25-05-09,28.98
26-05-09,29.48
27-05-09,29.55
31-05-09,30.14
1/6/2009,28.52
2/6/2009,28.76
