date,price
3/1/2009,79.62
4/1/2009,78.55
5/1/2009,77.1
6/1/2009,74.48
7/1/2009,76.2
10/1/2009,69.4
11/1/2009,67.5
12/1/2009,67.51
13-01-09,65.75
14-01-09,67.69
18-01-09,70.51
19-01-09,70.51
20-01-09,69.85
21-01-09,68.9
24-01-09,71.35
25-01-09,73.5
26-01-09,73.6
27-01-09,76.69
28-01-09,79
31-01-09,76.25
1/2/2009,75.3
2/2/2009,77.93
3/2/2009,80.71
4/2/2009,83.85
7/2/2009,82.8
8/2/2009,84.4
9/2/2009,84.25
10/2/2009,82.07
11/2/2009,81.41
14-02-09,79.75
15-02-09,81.6
16-02-09,81.6
17-02-09,80.5
18-02-09,81.4
22-02-09,83.12
23-02-09,80.85
24-02-09,80.05
25-02-09,78.16
28-02-09,80.7
1/3/2009,82.25
2/3/2009,84.71
3/3/2009,86.5
4/3/2009,87.5
7/3/2009,86.7
8/3/2009,86.86
9/3/2009,88.1
10/3/2009,91.05
11/3/2009,91.5
14-03-09,88.7
15-03-09,87.75
16-03-09,90.55
17-03-09,89.75
18-03-09,88.15
21-03-09,90.15
22-03-09,91.44
23-03-09,90
24-03-09,86.81
25-03-09,89.35
28-03-09,89
29-03-09,86.01
30-03-09,87.17
31-03-09,92.4
1/4/2009,93.9
4/4/2009,91.61
5/4/2009,91.35
6/4/2009,91.82
7/4/2009,92.73
8/4/2009,91
11/4/2009,89.66
12/4/2009,89.14
13-04-09,90.8
14-04-09,94.41
15-04-09,92.31
18-04-09,92.31
19-04-09,92.47
20-04-09,92.8
21-04-09,92.12
25-04-09,93.27
26-04-09,92.75
27-04-09,91.07
28-04-09,92.45
29-04-09,96.75
2/5/2009,95.75
3/5/2009,92.5
4/5/2009,93.75
5/5/2009,93
6/5/2009,91.15
9/5/2009,89.97
10/5/2009,89.9
11/5/2009,88.63
12/5/2009,89.86
13-05-09,89.21
16-05-09,86.98
17-05-09,87.25
18-05-09,85.5
19-05-09,87.3
20-05-09,87.85
23-05-09,84.48
24-05-09,86
25-05-09,86.98
26-05-09,85.4
27-05-09,82.5
31-05-09,81.04
1/6/2009,81.9
2/6/2009,81.11
3/6/2009,83.8
6/6/2009,84.85
7/6/2009,83.5
8/6/2009,84.58
9/6/2009,85.11
10/6/2009,82.76
13-06-09,78.45
14-06-09,80.6
15-06-09,79.47
16-06-09,79
17-06-09,81.96
20-06-09,81.4
21-06-09,80.89
22-06-09,80.94
23-06-09,83.47
24-06-09,89.1
27-06-09,89.52
28-06-09,90.87
29-06-09,89.96
30-06-09,90.29
