date,price
2/1/2009,60.11
5/1/2009,64.22
6/1/2009,65.11
7/1/2009,66.01
8/1/2009,66.8
9/1/2009,66.93
12/1/2009,67.3
13-01-09,67.65
14-01-09,67.53
15-01-09,67.85
16-01-09,67.84
20-01-09,68.06
21-01-09,68.46
22-01-09,67.61
23-01-09,67.55
26-01-09,67.49
27-01-09,67.72
28-01-09,68.4
29-01-09,67.87
30-01-09,68.85
2/2/2009,69.1
3/2/2009,69.18
4/2/2009,69.05
5/2/2009,69.36
6/2/2009,69.86
9/2/2009,70.47
10/2/2009,69.67
11/2/2009,69.58
12/2/2009,69.9
13-02-09,69.61
17-02-09,68.63
18-02-09,68.53
19-02-09,69.66
20-02-09,63.87
23-02-09,63.85
24-02-09,63.57
25-02-09,62.62
26-02-09,62.8
27-02-09,62.03
2/3/2009,62.25
3/3/2009,63.8
4/3/2009,63.27
5/3/2009,63.11
6/3/2009,63.9
9/3/2009,63.91
10/3/2009,63.55
11/3/2009,63.26
12/3/2009,62.68
13-03-09,63
16-03-09,62.05
17-03-09,61.92
18-03-09,61.96
19-03-09,61.84
20-03-09,61.8
23-03-09,61.8
24-03-09,61.83
25-03-09,61.19
26-03-09,62.6
27-03-09,63.31
30-03-09,64.67
31-03-09,67.17
1/4/2009,67.35
2/4/2009,67.25
3/4/2009,67.85
6/4/2009,67.2
7/4/2009,66
8/4/2009,65.26
9/4/2009,65.54
13-04-09,65.58
14-04-09,64.89
15-04-09,64.06
16-04-09,64.69
17-04-09,64.42
20-04-09,61.07
21-04-09,61.33
22-04-09,62.36
23-04-09,65.53
24-04-09,65.14
27-04-09,65.86
28-04-09,64.62
29-04-09,62.08
30-04-09,61.77
1/5/2009,61.07
4/5/2009,61.56
5/5/2009,62.62
6/5/2009,62.81
7/5/2009,61.09
8/5/2009,61.15
11/5/2009,60.32
12/5/2009,59.63
13-05-09,60.53
14-05-09,60.08
15-05-09,61.65
18-05-09,60.3
19-05-09,69.56
20-05-09,69.69
21-05-09,68.35
22-05-09,67.54
26-05-09,64.12
27-05-09,65.07
28-05-09,64.2
29-05-09,66.25
1/6/2009,64.24
2/6/2009,66.07
3/6/2009,66.92
4/6/2009,63.55
5/6/2009,61.92
8/6/2009,61.89
9/6/2009,61.93
10/6/2009,64.07
11/6/2009,64.94
12/6/2009,65.35
15-06-09,66.99
16-06-09,66.68
17-06-09,66.76
18-06-09,62.94
19-06-09,62.23
22-06-09,64.2
23-06-09,63.97
24-06-09,63.38
25-06-09,64.19
26-06-09,64.34
29-06-09,67.11
30-06-09,66.8
1/7/2009,66.11
2/7/2009,69.92
