date,Vegetable-Pettah-Wholesale-Beans,Vegetable-Pettah-Retail-Beans,Vegetable-Dambulla-Wholesale-Beans,Vegetable-Dambulla-Retail-Beans
3/6/2015,140,160,140,190
3/9/2015,140,160,120,165
3/11/2015,120,140,110,165
3/12/2015,140,160,110,165
3/13/2015,120,140,108,165
3/16/2015,120,140,90,145
3/17/2015,120,140,88,145
3/18/2015,120,140,88,145
3/19/2015,120,140,80,120
3/20/2015,120,140,85,120
3/24/2015,120,140,80,125
3/25/2015,80,100,70,125
3/26/2015,60,80,53,120
3/27/2015,60,80,48,110
3/31/2015,60,80,43,85
4/1/2015,60,80,35,70
4/2/2015,60,80,35,75
4/6/2015,45,70,40,75
4/7/2015,60,80,38,70
4/8/2015,65,80,40,70
4/9/2015,60,80,48,78
4/10/2015,100,120,88,125
4/21/2015,120,140,38,60
4/23/2015,100,120,75,110
4/24/2015,110,130,100,160
4/27/2015,100,120,103,155
4/28/2015,100,120,85,125
4/29/2015,110,130,,
4/30/2015,125,145,95,145
5/5/2015,120,140,,
5/6/2015,120,140,100,145
5/7/2015,100,120,85,135
5/8/2015,120,140,95,145
5/11/2015,110,130,85,145
5/12/2015,120,140,78,125
5/13/2015,100,120,80,125
5/14/2015,120,140,100,145
5/15/2015,120,140,90,145
5/18/2015,105,120,113,150
5/19/2015,115,125,128,155
5/20/2015,105,120,125,165
5/21/2015,125,145,125,155
5/22/2015,140,160,105,155
5/25/2015,160,180,135,175
5/26/2015,160,180,140,180
5/27/2015,140,160,138,180
5/28/2015,140,160,143,180
5/29/2015,140,160,115,165
6/1/2015,140,160,135,180
6/3/2015,140,160,125,175
6/4/2015,140,160,,
6/5/2015,140,160,125,165
6/8/2015,120,140,135,170
6/9/2015,110,140,125,165
6/10/2015,120,140,135,170
6/11/2015,125,150,170,205
6/12/2015,140,160,160,195
6/15/2015,150,170,185,225
6/16/2015,130,150,170,215
6/17/2015,125,155,175,215
6/18/2015,145,165,155,205
6/19/2015,160,180,190,240
6/22/2015,165,180,185,235
6/23/2015,155,175,200,245
6/24/2015,160,180,210,250
6/25/2015,120,140,210,250
6/26/2015,150,180,190,240
6/29/2015,160,180,160,200
6/30/2015,165,185,145,200
7/2/2015,160,180,135,190
7/3/2015,180,200,125,170
7/6/2015,180,200,130,165
7/7/2015,180,200,145,175
7/8/2015,175,190,105,150
7/9/2015,150,170,100,150
7/10/2015,160,180,85,150
7/13/2015,160,180,130,165
7/14/2015,160,180,125,165
7/15/2015,140,160,125,165
7/16/2015,160,180,130,165
7/17/2015,150,170,140,200
7/20/2015,145,170,125,155
7/21/2015,150,170,130,165
7/22/2015,145,165,125,165
7/23/2015,145,170,135,160
7/24/2015,140,160,125,160
7/27/2015,155,180,145,180
7/28/2015,160,180,155,190
7/29/2015,140,160,140,190
7/30/2015,140,160,125,170
8/3/2015,140,160,125,165
8/4/2015,140,160,110,165
8/5/2015,120,140,110,165
8/6/2015,100,120,105,165
8/7/2015,100,120,110,165
8/10/2015,100,120,105,165
8/11/2015,95,115,115,165
8/12/2015,100,120,118,165
8/13/2015,95,110,95,140
8/14/2015,80,100,98,140
8/17/2015,65,85,75,120
8/18/2015,60,80,,
8/19/2015,80,100,,
8/20/2015,95,120,110,160
8/21/2015,80,100,90,150
8/24/2015,105,125,120,165
8/25/2015,60,80,125,165
8/26/2015,75,95,105,165
8/27/2015,75,95,105,165
8/28/2015,100,120,105,165
8/31/2015,100,120,113,165
9/1/2015,80,100,120,165
9/2/2015,80,100,100,160
9/3/2015,80,100,110,160
9/4/2015,85,105,103,160
9/7/2015,80,100,105,160
9/8/2015,80,100,100,160
9/9/2015,80,100,93,140
9/10/2015,85,105,98,140
9/11/2015,90,110,103,140
9/14/2015,120,140,105,155
9/15/2015,120,140,105,155
9/16/2015,120,140,110,155
9/17/2015,100,120,105,155
9/18/2015,100,120,110,155
9/21/2015,120,140,110,150
9/22/2015,115,135,110,150
9/23/2015,105,125,120,150
9/25/2015,105,125,100,145
9/28/2015,120,140,115,165
9/29/2015,110,130,105,150
9/30/2015,120,140,85,145
10/1/2015,120,140,95,145
10/2/2015,120,140,98,145
10/5/2015,125,145,90,145
10/6/2015,140,160,110,145
10/7/2015,130,150,120,155
10/8/2015,130,150,115,155
10/9/2015,135,155,120,155
10/12/2015,140,160,115,155
10/13/2015,135,150,135,190
10/14/2015,135,150,145,190
10/15/2015,125,145,100,155
10/16/2015,125,145,115,155
10/19/2015,145,165,90,155
10/20/2015,145,165,100,155
10/21/2015,145,165,100,155
10/22/2015,145,165,110,155
10/23/2015,145,165,95,155
10/26/2015,155,175,115,165
10/28/2015,155,175,,
10/29/2015,145,165,115,165
10/30/2015,160,180,115,165
11/2/2015,225,250,168,210
11/3/2015,230,250,170,210
11/4/2015,225,245,165,210
11/5/2015,200,220,190,235
11/6/2015,200,220,150,200
11/9/2015,200,220,185,240
11/11/2015,240,260,210,265
11/12/2015,240,260,225,265
11/13/2015,225,245,220,275
11/16/2015,210,230,175,225
11/17/2015,220,240,195,240
11/18/2015,215,235,145,190
11/19/2015,215,235,145,190
11/20/2015,220,240,160,210
11/23/2015,220,240,180,215
11/24/2015,225,245,190,250
11/26/2015,220,240,210,265
11/27/2015,240,260,185,225
11/30/2015,240,260,225,265
12/1/2015,240,260,235,270
12/2/2015,240,260,175,225
12/3/2015,240,260,140,180
12/4/2015,245,265,175,235
12/7/2015,205,225,185,210
12/8/2015,200,220,200,240
12/9/2015,200,220,175,225
12/10/2015,205,225,145,190
12/11/2015,220,240,170,215
12/14/2015,240,260,195,265
12/15/2015,240,260,195,265
12/16/2015,245,265,205,265
12/17/2015,240,260,215,265
12/18/2015,240,260,215,265
12/21/2015,260,280,240,290
12/22/2015,260,280,255,290
12/23/2015,265,285,260,290
12/28/2015,240,260,275,338
12/29/2015,220,240,195,275
12/30/2015,180,200,225,290
12/31/2015,220,240,195,240
1/1/2016,200,220,155,225
1/4/2016,200,220,175,225
1/5/2016,200,220,185,230
1/6/2016,180,200,150,205
1/7/2016,180,200,180,235
1/8/2016,180,200,190,235
1/11/2016,180,200,175,220
1/12/2016,160,180,180,225
1/13/2016,160,180,200,250
1/14/2016,160,180,180,230
1/18/2016,180,200,185,225
1/19/2016,180,200,200,230
1/20/2016,160,180,185,240
1/21/2016,160,180,195,250
1/22/2016,160,180,140,210
1/25/2016,150,170,125,175
1/26/2016,150,170,90,145
1/27/2016,120,140,85,125
1/28/2016,110,130,95,140
1/29/2016,120,140,120,145
2/1/2016,160,180,120,165
2/2/2016,160,180,120,155
2/3/2016,120,140,123,155
2/5/2016,120,140,85,125
2/8/2016,100,120,90,135
2/9/2016,100,120,95,135
2/10/2016,100,120,75,125
2/11/2016,95,120,93,145
2/12/2016,90,110,80,125
2/15/2016,100,120,100,145
2/16/2016,100,120,85,135
2/17/2016,95,115,75,125
2/18/2016,95,115,75,125
2/19/2016,100,120,58,120
2/23/2016,100,120,78,120
2/24/2016,100,120,110,145
2/25/2016,100,120,145,190
2/26/2016,105,125,120,165
2/29/2016,120,140,90,145
3/1/2016,120,140,95,145
3/2/2016,105,125,105,150
3/3/2016,100,120,115,155
3/4/2016,100,120,90,140
3/8/2016,100,120,95,145
3/9/2016,100,120,73,113
3/10/2016,100,120,85,135
3/11/2016,100,120,65,110
3/14/2016,100,120,85,120
3/15/2016,100,120,85,130
3/16/2016,90,120,80,125
3/17/2016,100,120,73,110
3/18/2016,100,120,75,110
3/21/2016,110,130,75,115
3/23/2016,110,130,80,120
3/24/2016,120,140,90,135
3/28/2016,120,140,100,115
3/29/2016,125,145,110,150
3/30/2016,125,145,95,125
3/31/2016,130,150,55,90
4/1/2016,130,150,48,85
4/4/2016,110,130,60,100
4/5/2016,90,130,58,85
4/6/2016,110,130,55,90
4/7/2016,110,130,55,70
4/8/2016,110,130,60,90
4/11/2016,150,165,125,180
4/12/2016,155,165,115,165
4/15/2016,,,,
4/18/2016,85,105,,
4/19/2016,130,170,70,105
4/20/2016,100,120,43,85
4/22/2016,110,130,83,110
4/25/2016,140,160,125,165
4/26/2016,140,160,135,165
4/27/2016,145,165,120,165
4/28/2016,140,160,135,175
4/29/2016,140,160,120,175
5/3/2016,160,180,115,165
5/4/2016,160,180,125,165
5/5/2016,160,180,130,165
5/6/2016,160,180,120,165
5/9/2016,130,150,125,175
5/10/2016,130,150,110,165
5/11/2016,150,170,115,165
5/12/2016,150,170,120,165
5/13/2016,130,150,115,165
5/16/2016,140,160,140,190
5/17/2016,145,165,195,255
5/18/2016,160,180,98,140
5/19/2016,220,240,135,175
5/20/2016,240,260,120,175
5/24/2016,260,280,235,275
5/25/2016,160,180,225,275
5/26/2016,220,240,215,265
5/27/2016,180,200,220,275
5/30/2016,180,200,180,230
5/31/2016,180,200,210,265
6/1/2016,180,200,175,225
6/2/2016,180,200,175,225
6/3/2016,160,180,155,190
6/6/2016,180,200,160,205
6/7/2016,160,180,170,215
6/8/2016,160,180,140,190
6/9/2016,160,180,125,170
6/10/2016,140,160,125,170
6/13/2016,160,180,115,165
6/14/2016,180,200,155,190
6/15/2016,160,180,130,180
6/16/2016,160,180,125,170
6/17/2016,180,200,135,170
6/20/2016,160,180,,
6/21/2016,160,180,145,190
6/22/2016,180,200,135,190
6/23/2016,160,180,90,145
6/24/2016,160,180,115,165
6/27/2016,160,180,115,165
6/28/2016,170,190,170,220
6/29/2016,160,180,180,225
6/30/2016,160,180,170,225
7/1/2016,180,210,140,165
7/4/2016,180,200,150,200
7/5/2016,180,200,165,220
7/7/2016,160,180,130,170
7/8/2016,140,160,115,165
7/11/2016,140,160,140,190
7/12/2016,150,170,115,165
7/13/2016,150,170,110,165
7/14/2016,140,160,110,165
7/15/2016,140,160,100,150
7/18/2016,140,160,115,150
7/20/2016,150,170,,
7/21/2016,150,170,125,160
7/22/2016,140,160,120,160
7/25/2016,140,160,160,220
7/26/2016,140,160,155,210
7/27/2016,140,160,160,210
7/28/2016,120,140,125,165
7/29/2016,100,120,145,180
8/1/2016,140,160,130,165
8/2/2016,140,160,145,190
